,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Phoenicia,93,56,87,Standard USA (Purple),1,,,,,,
Phoenix,50,56,87,Standard USA (Purple),1,,,,,,
Pi mal Pflaumen,119,58,89,Euro Size Card Sleeves,2,,,,,,
Pi?ata,59,63.5,88,Card Game (Green),1,,,,,,
Pick Picknic,60,45,75,?,1,,,,,,
Pick-a-Dog,96,70,70,Small Square,1,,,,,,
Pick-a-Pig,96,70,70,Small Square,1,,,,,,
Pick-a-Polar Bear,110,70,70,Small Square,2,,,,,,
Pick-a-Seal,96,70,70,Small Square,1,,,,,,
Pictomania,99,61,110,"""Dwarf King"" French Tarot Sized (Magnum Platinum)",1,,,,,,
Pictomania,55,44,67,Mini Euro Sleeves,1,,,,,,
Pictomania: Geek Edition,18,61,110,"""Dwarf King"" French Tarot Sized (Magnum Platinum)",1,,,,,,
Pie Factory,54,63,88,Card Game (Green),1,,,,,,
Pie Rats of the Carob Bean Farm,100,63,88,Card Game (Green),,,,,,,
Pig Pile?,80,63,88,Card Game (Green),1,,,,,,
Pillars of Eternity: Lords of the Eastern Reach Large Cards,6,70,122,Custom 7100 ,1,,,,,,
Pillars of Eternity: Lords of the Eastern Reach Standard,324,63.5,88,Card Game (Green),4,,,,,,
Pillars of the Earth,75,44,67,Mini Euro Sleeves,1,,,,,,
Pillars of the Earth Expansion,,44,67,Mini Euro Sleeves,0,,,,,,
Pillars of the Earth: Builders Duel,60,59,91,Euro Size Card Sleeves,1,,,,,,
Pinball Showdown ,71,63,88,Card Game (Green),1,,,,,,
Pink Tree House,,56,87,Standard USA (Purple),0,,,,,,
Pinocchio,,56,87,Standard USA (Purple),0,,,,,,
Pirate Fluxx,100,56,87,Standard USA (Purple),1,,,,,,
Pirate King,49,63,63,?,1,,,,,,
Pirate King,82,62,87,Card Game (Green),1,,,,,,
Pirate's Cove,112,44,67,Mini Euro Sleeves,2,,,,,,
Pirates 2 ed. - Governor's Daughter (2010),,59,92,Euro Size Card Sleeves,0,,,,,,
Pirates 2 ed.: Governor's Daughter,55,?,?,?,1,,,,,,
Pirates of Nassau ( Large Cards),20,57,88,Chimera (Orange),1,,,,,,
Pirates of Nassau ( Small Cards),89,45,68,Mini Euro Sleeves,1,,,,,,
Pirates vs. Dinosaurs,94,63,88,Card Game (Green),1,,,,,,
Pirates vs. Dinosaurs,50,44,67,Mini Euro Sleeves,1,,,,,,
Pit,74,57,90,Chimera (Orange),1,,,,,,
Piwne Imperium,107,57,90,Chimera (Orange),2,,,,,,
Pixel Glory,193,63,88,Card Game (Green),2,,,,,,
Pixel Lincoln: Bonuses Pack,54,63,88,Card Game (Green),1,,,,,,
Pixel Lincoln: Re-Election,61,63,88,Card Game (Green),1,,,,,,
Pixel Lincoln: The Deckbuilding Game,216,63,88,Card Game (Green),3,,,,,,
Pixel Tactics,52,63,88,Card Game (Green),1,,,,,,
Pixel Tactics 2,52,63,88,Card Game (Green),1,,,,,,
Pixel Tactics 3 ,52,63.5,88,Card Game (Green),1,,,,,,
Pixel Tactics 4,52,63,88,Card Game (Green),1,,,,,,
Pixel Tactics 5,25,63,88,Card Game (Green),1,,,,,,
Pixel Tactics Deluxe,52,63,88,Card Game (Green),1,,,,,,
Pizza Box Baseball,250,57,90,Chimera (Orange),3,,,,,,
Pizzaro & Co.,99,44,63,Mini Chimera (Red),1,,,,,,
Plague Inc.: The Board Game,139,50.5,76,Custom Sails of Glory Sleeves,2,,,,,,
PLAGUE: The Card Game,54,63,88,Card Game (Green),1,,,,,,
Plan Orange: Pacific War 1930 - 1935,48,58,89,Chimera (Orange),1,,,,,,
Planechase,,89,127,?,0,,,,,,
Planes,60,63.5,88,Card Game (Green),1,,,,,,
Planet Steam (FFG),67,57,90,Chimera (Orange),1,,,,,,
"Planet Steam (LudoArt edition, Heidelberger Spieleverlag edition)",60,80,120,Magnum Gold,1,,,,,,
Planetarium,52,63,88,Card Game (Green),1,,,,,,
Planetarium: Sci-Fi Set 1,12,63,88,Card Game (Green),1,,,,,,
Plate 3000,55,63.5,88,Card Game (Green),1,,,,,,
Plato 3000,55,??,??,?,1,,,,,,
Play Nine,108,63,88,Card Game (Green),2,,,,,,
Pluckin' Pairs,150,??,??,?,2,,,,,,
Plunder,108,57,88,Chimera (Orange),2,,,,,,
Plus Ultra: The court of the emperor Charles V,32,63.5,88,Card Game (Green),1,,,,,,
Pocket Imperium,12,58,89,Chimera (Orange),1,,,,,,
Pocket Madness ,70,70,120,Custom 7100  (War of the Ring),1,,,,,,
Pocket Mars,49,63,88,Card Game (Green),1,,,,,,
Pocket Neon City RUMBLE: Clash of the Gems ,177,63,88,Card Game (Green),2,,,,,,
Pocket Rockets,60,43,65,Mini Chimera (Red),1,,,,,,
Poison,50,56,88,Standard USA (Purple),1,,,,,,
Pokémon Trading Card Game,,63,88,Card Game (Green),0,,,,,,
Pokémon Trading Card Gami,60,63,88,Card Game (Green),1,,,,,,
Poker Assault,244,63,88,Card Game (Green),3,,,,,,
Poker Cards,52,63,88,Card Game (Green),1,,,,,,
Police Precinct,53,63.5,92,Custom Police Precinct,1,,,,,,
Police Precinct,90,44,67,Mini Euro Sleeves,1,,,,,,
Police Precinct (2016 Printing),90,46,71,Custom Sails of Glory Sleeves,1,,,,,,
Polis: Fight for the Hegemony,64,56,89,Standard USA (Purple),1,,,,,,
Politricks,64,57,89,Chimera (Orange),1,,,,,,
Polterfass,48,56,87,Standard USA (Purple),1,,,,,,
Ponzi Scheme,82,45,68,Mini Euro Sleeves,1,,,,,,
Poo,110,63,88,Card Game (Green),2,,,,,,
Popular Front,,58,89,Euro Size Card Sleeves,0,,,,,,
Popular Front: Escalation,54,58,89,Euro Size Card Sleeves,1,,,,,,
Port Royal,120,59,92,Euro Size Card Sleeves,2,,,,,,
Porta Nigra  (Large Cards),32,59,92,Euro Size Card Sleeves,1,,,,,,
Porta Nigra  (Small Cards),48,45,68,Mini Euro Sleeves,1,,,,,,
Portal: The Uncooperative Cake Acquisition Game  (Large Cards),4,76,101.5,?,1,,,,,,
Portal: The Uncooperative Cake Acquisition Game  (Small Cards),20,63,88,Card Game (Green),1,,,,,,
Porto Carthago (2010),47,70,70,Small Square,1,,,,,,
Ports of Europe: Antwerpen,112,??,??,?,2,,,,,,
Posthuman  (Large Cards),30,63,88,Card Game (Green),1,,,,,,
Posthuman  (Small Cards),334,47,70,?,4,,,,,,
Potions Brew ,110,58,89,Euro Size Card Sleeves,2,,,,,,
POWER,61,63,88,Card Game (Green),1,,,,,,
Power Grid,49,69,69,Small Square,1,,,,,,
Power Grid Deluxe: Europe/ North America,54,70,70,Small Square,1,,,,,,
Power Grid Expansion Deck,48,69,69,Small Square,1,,,,,,
Power Grid Expansion Theme Park,11,69,69,Small Square,1,,,,,,
Power Grid: The Card Game,118,70,70,Small Square,2,,,,,,
Power Grid: The First Sparks,36,69,69,Small Square,1,,,,,,
Power Play: Schemes & Skulduggery,57,70,120,Custom 7100  (War of the Ring),1,,,,,,
Power Struggle,40,59,92,Euro Size Card Sleeves,1,,,,,,
Prêt-à-PortBl,50,59,92,Euro Size Card Sleeves,1,,,,,,
Prêt-à-Portlu,100,45,67,Mini Euro Sleeves,1,,,,,,
Pretense,18,63.5,88,Card Game (Green),1,,,,,,
Primate Fear,120,57,88,Chimera (Orange),2,,,,,,
Prime Time,110,63,88,Card Game (Green),2,,,,,,
Primordal Soup: Freshly Spiced,66,56,88,Standard USA (Purple),1,,,,,,
Primordial Soup,44,56,88,Standard USA (Purple),1,,,,,,
Princes of Florence,60,59,92,Euro Size Card Sleeves,1,,,,,,
Princes of Florence -Muse & Princess Exp.,6,59,92,Euro Size Card Sleeves,1,,,,,,
Princess Bride: Storming the Castle -Path Cards,54,63,118,?,1,,,,,,
Princess Bride: Storming the Castle -Tactics Cards,54,63,88,Card Game (Green),1,,,,,,
Principato,110,56,88,Standard USA (Purple),2,,,,,,
Prize Property -opportunity cards,60,56,89,Chimera (Orange) (wide),1,,,,,,
Prize Property- town meeting cards,32,45,67,Mini Euro Sleeves,1,,,,,,
Prodigy (2010),63,63,88,Card Game (Green),1,,,,,,
Professor Pugnacious,178,63,88,Card Game (Green),2,,,,,,
Professor Pugnacious: Armies of the Undead,13,63,88,Card Game (Green),1,,,,,,
Progress: Evolution of Technology,189,63.5,88,Card Game (Green),2,,,,,,
Progress: Industrial Revolution,55,63.5,88,Card Game (Green),1,,,,,,
Prohis,110,57,88,Chimera (Orange),2,,,,,,
Project: ELITE  (Large Cards),30,80,120,Magnum Gold,1,,,,,,
Project: ELITE  (Small Cards),129,59,92,Euro Size Card Sleeves,2,,,,,,
Project: ELITE – Adrenaline  (Large Cards),51,80,120,Magnum Gold,1,,,,,,
Project: ELITE – Adrenaline  (Small Cards),23,59,92,Euro Size Card Sleeves,1,,,,,,
Promised Land: 1250-587BC,56,56,88,Standard USA (Purple),1,,,,,,
Prophecy (Altar edition),214,41,68,Mini Euro (Light Blue) -Almost,3,,,,,,
Prophecy (Z-Man),211,41,68,Mini Euro (Light Blue) -Almost,3,,,,,,
Prophecy: Dragon Realm,74,42,69,?,1,,,,,,
Provincia Romana,235,59,92,Euro Size Card Sleeves,3,,,,,,
Purrrlock Holmes: Furriarty's Trail,60,63,88,Card Game (Green),1,,,,,,
Pursuit of Glory,110,63.5,88,Card Game (Green),2,,,,,,
Pyramid ,23,45,68,Mini Euro Sleeves,1,,,,,,
Quack in the Box,148,63,88,Card Game (Green),2,,,,,,
Quantum,53,63.5,88,Card Game (Green),1,,,,,,
Quarriors,53,63,88,Card Game (Green),1,,,,,,
Quarriors Quarmageddon,26,63,88,Card Game (Green),1,,,,,,
Quarriors! Light vs. Dark,43,63.5,88,Card Game (Green),1,,,,,,
Quarriors! Quartifacts,36,63,88,Card Game (Green),1,,,,,,
Quarriors! Quest of the Qladiator,26,63,88,Card Game (Green),1,,,,,,
Quarriors! Rise of the Demons,20,63,88,Card Game (Green),1,,,,,,
Quartermaster General,216,63.5,88,Card Game (Green),3,,,,,,
Quartermaster General: Air Marshal,54,63.5,88,Card Game (Green),1,,,,,,
Québec,21,58,89,Euro Size Card Sleeves,1,,,,,,
Queen's Necklace,100,65,100,Magnum Copper,1,,,,,,
Queen's Ransom,90,57,89,Chimera (Orange),1,,,,,,
Quicksand,83,56,87,Standard USA (Purple),1,,,,,,
Quiddler,118,56,87,Standard USA (Purple),2,,,,,,
Quietville,113,??,??,?,2,,,,,,
Quilt Show,96,63,88,Card Game (Green),1,,,,,,
R-Eco,104,57,89,Chimera (Orange),2,,,,,,
Race For The Galaxy,150,63,88,Card Game (Green),2,,,,,,
Race for the Galaxy Alien Artifacts,60,63,88,Card Game (Green),1,,,,,,
Race For The Galaxy Rebel Vs. Imperium,53,63,88,Card Game (Green),1,,,,,,
Race for the Galaxy The Brink of War,54,63,88,Card Game (Green),1,,,,,,
Race For The Galaxy The Gathering Storm,48,63,88,Card Game (Green),1,,,,,,
Race For The Summit,130,63,88,Card Game (Green),2,,,,,,
Race to the North Pole,110,43,65,Mini Chimera (Red),2,,,,,,
Race! Formula 90,260,55,80,Race! Formula 90 Sleeves,3,,,,,,
Race! Formula 90: Expansion #1 - RF90 Series Championship,71,55,80,Race! Formula 90 Sleeves,1,,,,,,
Racko,60,57,88,Chimera (Orange),1,,,,,,
RAF,134,54,80,Yucatan Narrow Card Sleeves  (Trim),2,,,,,,
RAF: The Battle of Britain 1940 (First edition),134,54,80,Yucatan Narrow Card Sleeves  (Trim),2,,,,,,
RAF: The Battle of Britain 1940 (Second edition),165,57,88,Chimera (Orange),2,,,,,,
Ragami,33,56,87,Standard USA (Purple),1,,,,,,
Raid & Trade  (Large Cards),10,63,88,Card Game (Green),1,,,,,,
Raid & Trade  (Small Cards),41,45,68,Mini Euro Sleeves,1,,,,,,
Raid & Trade (Square Cards),120,50,50,?,2,,,,,,
Raiders of the North Sea,75,54,86,?,1,,,,,,
Rail Baron ( Small Cards),13,38,70,?,1,,,,,,
Rail Baron (Large Cards),28,70,76,?,1,,,,,,
Railroad Tycoon,71,63,88,Card Game (Green),1,,,,,,
Railroader,24,56,87,Standard USA (Purple),1,,,,,,
Rails of New England,250,59,92,Euro Size Card Sleeves,3,,,,,,
Railway Rivals,42,40,67,?,1,,,,,,
Railways Express,42,63.5,88,Card Game (Green),1,,,,,,
Railways of Europe,45,63,88,Card Game (Green),1,,,,,,
Railways of the World,71,63,88,Card Game (Green),1,,,,,,
Railways of the World,54,80,80,Medium Square - Red,1,,,,,,
Railways Of the World 2nd Edition,109,63,88,Card Game (Green),2,,,,,,
Railways Of the World Card Game,112,50,68,51x77: Standard (SWN-012,2,,,,,,
Railways Of the World Card Game Expansion,55,50,68,51x77: Standard (SWN-012,1,,,,,,
Railways Of the World First Edition,55,63,88,Card Game (Green),1,,,,,,
Raise your Goblets,33,65,100,Magnum Copper,,,,,,,
Raj,75,??,??,?,1,,,,,,
Rallyman (2009),165,59,92,Euro Size Card Sleeves,2,,,,,,
Rallyman French First and Second Editions,,58,89,Euro Size Card Sleeves,0,,,,,,
Rallyman Multilingual Fourth Edition,165,45,68,Mini Euro Sleeves,2,,,,,,
Rampage,48,63.5,88,Card Game (Green),1,,,,,,
Rapa Nui,100,44,67,Mini Euro Sleeves,1,,,,,,
Rapa Nui,66,59,92,Euro Size Card Sleeves,1,,,,,,
Raptor,18,65,100,Magnum Copper,1,,,,,,
"Rattle, Battle, Grab the Loot",113,63,88,Card Game (Green),2,,,,,,
Rattus Cartus,131,63.5,88,Card Game (Green),2,,,,,,
Rattus Cartus: Nobilis,168,63.5,88,Card Game (Green),2,,,,,,
Rattus: Africanus,51,44,67,Mini Euro Sleeves,1,,,,,,
Rayguns and Rocketships  (Large Cards),5,?,?,?,1,,,,,,
Rayguns and Rocketships  (Small Cards),52,63,88,Card Game (Green),1,,,,,,
Razzia!,99,44,67,Mini Euro Sleeves,1,,,,,,
Realm of Wonder,110,58,89,Euro Size Card Sleeves,2,,,,,,
Recicle: Tempos de Crise,8,55.5,97,?,1,,,,,,
Recicle: Tempos de Crise - Stock Market Expansion,30,55.5,97,?,1,,,,,,
Red Dragon Inn (Slugfest),190,63.5,88,Card Game (Green),2,,,,,,
Red Dragon Inn 2 (Slugfest),190,63.5,88,Card Game (Green),2,,,,,,
Red Dragon Inn 3 (Slugfest),239,63.5,88,Card Game (Green),3,,,,,,
Red Dragon Inn 4,210,63.5,88,Card Game (Green),3,,,,,,
Red Dragon Inn: Allies ?Cormac the Mightyd,40,63.5,88,Card Game (Green),1,,,,,,
Red Dragon Inn: Allies ?Eren the Ever-Changingn,44,63.5,88,Card Game (Green),1,,,,,,
Red Dragon Inn: Allies ?Pookyt,41,63.5,88,Card Game (Green),1,,,,,,
Red Dragon Inn: Allies ?Witchdoctor Natylig,44,63.5,88,Card Game (Green),1,,,,,,
Red Empire,108,57,88,Chimera (Orange),2,,,,,,
Red Hot Silly Dragon,54,55,84,Standard USA (Purple),1,,,,,,
Red Neck Life,130,57.5,88.5,Chimera (Orange),2,,,,,,
Red November 1st Edition,64,41,63,Mini USA (Yellow),1,,,,,,
Red November 2nd Edition,110,41,63,Mini USA (Yellow),2,,,,,,
Red7,56,63.5,88,Card Game (Green),1,,,,,,
Redshirts ( Weasel Pants 2013),144,63,88,Card Game (Green),2,,,,,,
Redshirts( Weasel Pants 2012),108,63,88,Card Game (Green),2,,,,,,
Régents,41,45,68,Mini Euro Sleeves,1,,,,,,
Régents (2010e,41,44,67,Mini Euro Sleeves,1,,,,,,
Regnum Angelica,114,63.5,88,Card Game (Green),2,,,,,,
Relationship Tightrope,,59,91,Euro Size Card Sleeves,0,,,,,,
Relic,336,41,63,Mini USA (Yellow),4,,,,,,
Relic Expedition : Missions Expansion,55,63.5,88,Card Game (Green),1,,,,,,
Relikt (German Edition),120,56,87,Standard USA (Purple),2,,,,,,
Republic of Rome,178,63,88,Card Game (Green),2,,,,,,
Republic of Rome,192,56,87,Chimera (Orange),2,,,,,,
Res Publica,140,56,87,Chimera (Orange),2,,,,,,
Resident Evil Deck Building Game: Alliance,250,63,88,Card Game (Green),3,,,,,,
Resident Evil Deck Building Game: Mercenairies,275,63,88,Card Game (Green),3,,,,,,
Resident Evil Deck Building Game: Nightmare,150,63,88,Card Game (Green),2,,,,,,
Resident Evil Deck Building Game: Outbreak,150,63,88,Card Game (Green),2,,,,,,
Resident Evil: Alliance,250,63,88,Card Game (Green),3,,,,,,
Resident Evil: Deck Building Game,250,63,88,Card Game (Green),3,,,,,,
Resistance (First Edition),61,63,88,Card Game (Green),1,,,,,,
Resistance (Second edition),35,63,88,Card Game (Green),1,,,,,,
RESISTOR_,50,70,122,Custom 7100 ,1,,,,,,
RevoltaaA,66,56,87,Standard USA (Purple),1,,,,,,
Revolution: The Dutch Revolt 1568-1648,45,58,89,Chimera (Orange),1,,,,,,
Revolver,147,63,88,Card Game (Green),2,,,,,,
Revolver 2: Last Stand at Malpaso,169,63.5,88,Card Game (Green),2,,,,,,
Revolver 2: Last Stand at Malpaso,169,63,88,Card Game (Green),2,,,,,,
Revolver Expansion 2.1: The Savage Guns,30,63,88,Card Game (Green),1,,,,,,
Revolver Expansions 1.1-1.5,30,63,88,Card Game (Green),1,,,,,,
Revolver: By the Gun They Died,27,63,88,Card Game (Green),1,,,,,,
Rex: Final Days of an Empire,84,57.5,88.5,Chimera (Orange),1,,,,,,
Rex: Final Days of an Empire,36,43,63,Mini Chimera (Red),1,,,,,,
Rheinlander,56,63,89,Card Game (Green),1,,,,,,
Rialto,77,44,67,Mini Euro Sleeves,1,,,,,,
Rice Wars,68,??,??,?,1,,,,,,
Rice Wars,55,56,87,Standard USA (Purple),1,,,,,,
Richelieu,48,45,68,Mini Euro Sleeves,1,,,,,,
Richthofen's War Maneuver Cards,27,54,80,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Rick and Morty: Total Rickall Card Game (Large cards),24,?,?,?,1,,,,,,
Rick and Morty: Total Rickall Card Game (Standard),90,63,88,Card Game (Green),1,,,,,,
Rick Battlefield Rogue,108,56,87,Standard USA (Purple),2,,,,,,
Riff Raff,40,58,89,Euro Size Card Sleeves,1,,,,,,
Rise of Augustus,88,80,80,Medium Square - Red,1,,,,,,
Rise of Cthulhu ( Large Cards),10,?,?,?,1,,,,,,
Rise of Cthulhu ( Standard),64,63.5,88,Card Game (Green),1,,,,,,
Rise of the Luftwaffe,132,55,88,Chimera (Orange),2,,,,,,
Rise of the Luftwaffe Down in Flames Squadron Pack 2: Bombers,64,55,88,Chimera (Orange),1,,,,,,
Rise of the Luftwaffe Eight Air Force,132,55,88,Chimera (Orange),2,,,,,,
Rise of the Luftwaffe: Down in Flames Squadron Pack 1: Fighters,,55,88,Chimera (Orange),0,,,,,,
Rise to Power,165,57,88,Chimera (Orange),2,,,,,,
Risk -Game of Thrones Edition,187,56,87,Standard USA (Purple),2,,,,,,
Risk -Lord of the Rings Version,126,55,88,Chimera (Orange),2,,,,,,
Risk 2210 A.D.,191,53,74,?,2,,,,,,
Risk 2210 A.D.,191,54,80,Yucatan Narrow Card Sleeves,2,,,,,,
Risk 2210 A.D.: A Call To Arms – Celestial Dawn Command Deck,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: A Call To Arms Command Deck,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: A Call To Arms: Patriot,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Advanced Tech Command Deck,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Battle for America,50,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Mercenary Commander,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Mission Pack,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Religious Commander,21,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Spy Commander,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk 2210 A.D.: Terror Tactics Command Deck,20,54,80,Yucatan Narrow Card Sleeves,1,,,,,,
Risk Legacy,175,56,87,Standard USA (Purple),2,,,,,,
Risk: Godstorm,11,63,88,Card Game (Green),1,,,,,,
Risk: The Walking Dead Survival Edition,65,56,87,Standard USA (Purple),1,,,,,,
Ristorante Italia,68,44,67,Mini Euro Sleeves,1,,,,,,
Ristorante Italia,108,56,87,Standard USA (Purple),2,,,,,,
Rivals of Catan,180,69,69,Small Square,2,,,,,,
River Dragons,78,59,92,Euro Size Card Sleeves,1,,,,,,
Road Kill Rally,172,59,92,Euro Size Card Sleeves,2,,,,,,
Road to Canterbury,77,51,89,?,1,,,,,,
Robin,94,63.5,88,Card Game (Green),1,,,,,,
Robin Hood,110,56,87,Standard USA (Purple),2,,,,,,
Robinson Crusoe,220,57.5,88.5,Chimera (Orange),3,,,,,,
Robinson Crusoe,55,44,67,Mini Euro Sleeves,1,,,,,,
Robinson Crusoe (smaller bonus cards),5,56,87,Standard USA (Purple),1,,,,,,
Robinson Crusoe: Adventure on the Cursed Island - Voyage of the Beagle (vol. 1),55,57.5,88.5,Chimera (Orange),1,,,,,,
Robo Rally (2016) (Small ),200,41,64,Mini USA (Yellow),2,,,,,,
Robo Rally (2016) (Standard),40,57,87.5,Chimera (Orange),1,,,,,,
RoboRally,110,57,89,Chimera (Orange),2,,,,,,
Roborally Expansions,26,56,87,Standard USA (Purple),1,,,,,,
RoboRama,24,57,88,Chimera (Orange),1,,,,,,
Robot Turtles,140,63,88,Card Game (Green),,,,,,,
RoboTroc,49,58,88,Chimera (Orange),1,,,,,,
Robots: Battle for the Coal Heart,36,63,88,Card Game (Green),1,,,,,,
Rock the Beat,55,??,??,?,1,,,,,,
Rock! (Out of the Box),73,57.5,88.5,Chimera (Orange),1,,,,,,
Rockwell,48,63,88,Card Game (Green),1,,,,,,
Rococo,55,56,87,Standard USA (Purple),1,,,,,,
Roll For It!,30,63,88,Card Game (Green),1,,,,,,
Roll Player (Small),17,45,68,Mini Euro Sleeves,1,,,,,,
Roll Player (Standard),84,63,88,Card Game (Green),1,,,,,,
Rolling Freight,135,38,60,?,2,,,,,,
Roma,55,58,88,Chimera (Orange),1,,,,,,
Romance of the Three Kingdoms Card Game,117,63,88,Card Game (Green),2,,,,,,
Romans Go Home! Polish FIrst Edition,54,57,88,Chimera (Orange),1,,,,,,
Romans Go Home! Unknown edition,54,58,89,Euro Size Card Sleeves,1,,,,,,
Rome: Rise to Power,86,63,88,Card Game (Green),1,,,,,,
Rome: Rise to Power,76,63,88,Card Game (Green),1,,,,,,
Rommelin the Desert,42,44,67,Mini Euro Sleeves,1,,,,,,
Room 25 : Season 2,58,45,68,Mini Euro Sleeves,1,,,,,,
Room 25 Ultimate,58,45,68,Mini Euro Sleeves,1,,,,,,
Rosenk?nig,32,44,67,Mini Euro Sleeves,1,,,,,,
Rotterdam (2007),,44,67,Mini Euro Sleeves,0,,,,,,
Rowboat by Moosetache Games,61,63,88,Card Game (Green),1,,,,,,
Royal Palace,36,44,67,Mini Euro Sleeves,1,,,,,,
Royals,123,57,88,Chimera (Orange),2,,,,,,
"Ruby Gloom, The Card Game",52,56,86,Standard USA (Purple),1,,,,,,
Rule the Roost,60,??,??,?,1,,,,,,
Rum & Bones,60,63,88,Card Game (Green),1,,,,,,
Rum & Bones: Expansion,30,63,88,Card Game (Green),1,,,,,,
Rumpelstiltskin,22,63,88,Card Game (Green),1,,,,,,
Run Wild (Out of the Box),72,57.5,88.5,Chimera (Orange),1,,,,,,
"Run, Fight, or Die! (Large Cards)",44,63.5,88,Card Game (Green),1,,,,,,
"Run, Fight, or Die! (Small Cards)",72,45,68,Mini Euro Sleeves,1,,,,,,
Rune Age,252,57.5,88.5,Chimera (Orange),3,,,,,,
Rune Age: Oath and Anvil,210,57.5,88.5,Chimera (Orange),3,,,,,,
Runebound - Expansion Decks,50,57.5,88.5,Chimera (Orange),1,,,,,,
Runebound - Frozen Wastes,250,57.5,88.5,Chimera (Orange),3,,,,,,
Runebound - Sands of Al-Kalim,250,57.5,88.5,Chimera (Orange),3,,,,,,
Runebound -Island of Dread,250,57.5,88.5,Chimera (Orange),3,,,,,,
Runebound -Mists of Zanaga,200,57.5,88.5,Chimera (Orange),2,,,,,,
Runebound (Base + All Expansions),1400,57.5,88.5,Chimera (Orange),14,,,,,,
Runebound (Third Edition)  (Large Cards),8,70,120,Custom MDG-7100,1,,,,,,
Runebound (Third Edition)  (Small Cards),120,41,63,Mini USA (Yellow),2,,,,,,
Runebound (Third Edition) (Standard cards),140,58,89,Chimera (Orange),2,,,,,,
Runebound Adventure Variant Cards,30,57.5,88.5,Chimera (Orange),1,,,,,,
Runebound Challenge Cards,30,57.5,88.5,Chimera (Orange),1,,,,,,
Runebound Character Decks,30,57.5,88.5,Chimera (Orange),1,,,,,,
Runebound Item & Ally Cards,30,57.5,88.5,Chimera (Orange),1,,,,,,
Runebound Second Edition,200,57.5,88.5,Chimera (Orange),2,,,,,,
Runebound: Midnight,132,57.5,88.5,Chimera (Orange),2,,,,,,
Runewars,55,57.5,88.5,Chimera (Orange),1,,,,,,
Runewars,168,43,63,Mini USA (Yellow),2,,,,,,
Runewars: Banners of War,21,57.5,88.5,Chimera (Orange),1,,,,,,
Runewars: Banners of War,114,43,63,Mini USA (Yellow),2,,,,,,
Running with the Bulls,70,56,87,Standard USA (Purple),1,,,,,,
Ruse,54,63.5,88,Card Game (Green),1,,,,,,
Ruse & Bruise,186,44,68,Mini Euro Sleeves,2,,,,,,
Rush Hour,,56,87,Standard USA (Purple),0,,,,,,
Russian Railroads,28,44,68,Mini Euro Sleeves,1,,,,,,
Russian Rails,168,??,??,?,2,,,,,,
Ryce: Empire of Sand,78,44,68,Mini Euro Sleeves,1,,,,,,
Ryce: Empire of Sand,24,59,92,Euro Size Card Sleeves,1,,,,,,
S-Evolution,120,44,68,Mini Euro Sleeves,2,,,,,,
Saboteur,110,56,87,Standard USA (Purple),2,,,,,,
